Feature,SHAP Importance
Log_Returns,0.577759919
oc,0.400696406
MOM_10,0.366635421
ROC_10,0.357718392
ol,0.318494852
STDDEV_20,0.315958257
oh,0.307874365
MFV,0.288763022
co,0.259264478
ROC_5,0.254536416
CVI,0.227447666
UO,0.225390965
%D,0.212528357
CMF_20,0.206646718
MFM,0.20077548
HL_Range,0.200631379
FI_13,0.198908627
KST,0.194679683
VROC_10,0.193502336
BB_PercentB,0.193374696
HL_EMA,0.185154008
Volume,0.184735504
ROC_20,0.184123132
AD,0.181044467
HV_10,0.179653521
KST_Signal,0.176991804
CCI_14,0.176427736
RSI_7,0.167759763
hl,0.162902831
Williams_%R,0.154386012
CCI_50,0.150656358
GK_Vol_10,0.150303712
HV_20,0.145499597
RSI_14,0.142512256
VROC_20,0.138177762
STDDEV_10,0.137135606
Smoothed_RSI,0.134731853
FS2,0.133670504
weekday,0.13085636
MACDs_12_26_9,0.128628044
SUPERT_7_3.0,0.126358802
MACDh_12_26_9,0.119227079
MACD_12_26_9,0.116431348
PVT,0.114571101
GK_Vol_20,0.110678445
TMA_20,0.109384271
SMA_100,0.097295733
VWAP,0.09446622
month,0.091302054
%K,0.08958769
ATR_14,0.08081461
EMA_200,0.077913088
Open,0.06880798
SMA_200,0.067506837
R3,0.064937283
HMA_20,0.06235859
ATR_20,0.060136932
SMA_50,0.057452049
OBV,0.054951784
SMA_20,0.043723125
KAMA,0.043217278
S2,0.04040602
BB_Lower,0.03519784
FR1,0.033597023
TMA_10,0.032770502
R2,0.032356505
HMA_10,0.030585123
DC_Mid_20,0.026669946
DC_Upper_20,0.026580062
EMA_100,0.025843622
SMA_10,0.022397326
DC_Lower_20,0.021433863
FR2,0.021015523
EMA_50,0.02063023
EMA_5,0.0197262
BB_Upper,0.018565254
LSMA_20,0.018248336
FS1,0.018246794
Close,0.017540004
SMA_5,0.017539716
S3,0.017231349
High,0.016457017
EMA_10,0.016342943
EMA_20,0.013940344
Pivot,0.013883377
KC_Middle,0.012978915
CS4,0.010918225
Low,0.010182307
WMA_10,0.009290958
CS3,0.00901002
KC_Lower,0.00805029
CR4,0.007016866
CR2,0.006542614
CR1,0.006497893
WMA_5,0.005276937
CR3,0.004946871
S1,0.004903653
SUPERTd_7_3.0,0.004037474
R1,0.003236373
CS2,0.000678271
FS3,0
BB_Middle,0
CS1,0
CMO_14,0
KC_Upper,0
FR3,0
