,date,Close,High,Low,Open,Volume,weekday,month,p_co,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI,SMA_10,SMA_50,EMA_10,EMA_50,VWAP,oc,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,Target,cnnstate,state2d,state1d,stateP
0,09-04-2013,5495.100098,5603.049805,5487,5568.75,138200,0.25,4,0.748847178,0.633217134,0.539119028,0.618648552,0.215567677,0.011345842,0.006719323,0.009408051,0.009190693,0.013732748,0.659187265,0.01699128,0.012144761,0.012466906,0.148786834,0.292886678,0.02628663,0,,,,
1,10-04-2013,5558.700195,5569.25,5477.200195,5536.25,128600,0.5,4,0.772657375,0.633548366,0.546440855,0.616207627,0.32327542,0.010978437,0.006188188,0.00891724,0.008668039,0.01405079,0.552016943,0.016694774,0.01118732,0.010891604,0.140580112,0.376539231,0.028902384,1,,,,
2,11-04-2013,5594,5610.649902,5542.850098,5601.649902,146800,0.75,4,-1.310329013,0.636388399,0.558305878,0.614910459,0.377073408,0.010745721,0.005719005,0.008830253,0.008237137,0.016314399,0.585635177,0.016774942,0.010388476,0.009265521,0.129446518,0.428801414,0.027603376,1,,,,
3,12-04-2013,5528.549805,5544.5,5494.899902,5520.700195,127300,1,4,-0.36265939,0.635645199,0.559217507,0.61370117,0.316362497,0.009992819,0.005176445,0.008175803,0.007691017,0.013459234,0.568347826,0.016200342,0.009583266,0.008250201,0.126676211,0.362812586,0.031198261,0,,,,
4,15-04-2013,5568.399902,5592.850098,5500.299805,5508.5,142900,0,4,-0.106847696,0.637868691,0.567050834,0.613246993,0.375361363,0.009327919,0.004696508,0.007995479,0.007246754,0.01494764,0.509727561,0.016693394,0.008733386,0.006132185,0.109405846,0.422226598,0.033526018,0,,,,
5,16-04-2013,5688.950195,5699.25,5555.850098,5562.450195,142700,0.25,4,0.34628018,0.646809826,0.58940352,0.614947557,0.522613349,0.009038736,0.004377528,0.008922261,0.00706325,0.019439893,0.436127281,0.01763345,0.008275067,0.004348423,0.091248977,0.624379401,0.043462271,2,,,,
6,17-04-2013,5688.700195,5732.149902,5669,5708.649902,154600,0.5,4,-0.105472248,0.654297892,0.603806159,0.618036499,0.5223334,0.009115983,0.00407028,0.009678309,0.006886437,0.021758365,0.598838633,0.018467236,0.007909336,0.002845417,0.075624456,0.652438523,0.040405541,0,,,,
7,18-04-2013,5783.100098,5794.350098,5681.850098,5682.700195,149900,0.75,4,0.116719405,0.66574463,0.624807682,0.623149932,0.616789602,0.010134602,0.003891417,0.011138165,0.006907108,0.024452921,0.467595733,0.018224786,0.008002048,0.003256009,0.079995266,0.82307298,0.045108645,0,,,,
8,22-04-2013,5834.399902,5844.850098,5789.799805,5789.850098,135100,0,4,0.149118952,0.677802546,0.643072424,0.630024039,0.660747789,0.011509136,0.003762981,0.012789766,0.00703052,0.027788305,0.529446724,0.017462647,0.008351433,0.004659121,0.094463317,0.860490457,0.041724484,1,,,,
9,23-04-2013,5836.899902,5844.299805,5791.549805,5843.100098,132200,0.25,4,0.328945096,0.687529915,0.652103503,0.637768718,0.662871946,0.012946248,0.003658112,0.014163355,0.007154139,0.027847137,0.583746516,0.016897635,0.008796026,0.006059344,0.107547724,0.8177091,0.037214449,0,,,,
10,25-04-2013,5916.299805,5924.600098,5853.299805,5856.100098,199600,0.75,4,-0.279732359,0.699531072,0.664773164,0.64673472,0.726620116,0.015005483,0.003671285,0.015994796,0.007433183,0.031368584,0.513412986,0.01592605,0.009457237,0.00826673,0.128637588,0.862009058,0.038358182,2,,,,
11,26-04-2013,5871.450195,5907.049805,5860.5,5899.75,141300,1,4,0.104742488,0.706373777,0.662556498,0.655487041,0.665509563,0.016534509,0.003644116,0.017093558,0.007610752,0.030490811,0.60691413,0.015661116,0.010050194,0.009669215,0.139601293,0.772119696,0.034560876,0,,,,
12,29-04-2013,5904.100098,5918.649902,5868.799805,5877.600098,118900,0,4,0.482715393,0.71334038,0.661079851,0.664097017,0.692299552,0.018050581,0.00362518,0.018283514,0.007847263,0.031326445,0.549204356,0.015355872,0.010705291,0.011230617,0.15182308,0.776521055,0.030133544,1,,,,
13,30-04-2013,5930.200195,5962.299805,5867.799805,5932.600098,153200,0.25,4,-0.317026279,0.719966036,0.659082102,0.672514415,0.713293834,0.020014239,0.00362235,0.019489712,0.008127184,0.032419691,0.579674543,0.014942554,0.01132333,0.012822971,0.164920469,0.77323157,0.032818957,0,,,,
14,02-05-2013,5999.350098,6019.450195,5910.950195,5911.399902,162400,0.75,5,-0.097512196,0.728606206,0.662307846,0.681242767,0.764630767,0.022121143,0.003727733,0.021092851,0.00853571,0.035114254,0.484895937,0.014230675,0.01205941,0.014928458,0.183274062,0.801853299,0.03743849,2,,,,
15,03-05-2013,5944,6000.299805,5930.149902,5993.5,145800,1,5,0.01513967,0.731909377,0.652108495,0.688987927,0.685791021,0.023368075,0.003785982,0.021911242,0.008816489,0.034234874,0.628385573,0.013938213,0.0125483,0.016155245,0.193092871,0.732011403,0.035895949,0,,,,
