,index,Unnamed: 0,Close,High,Low,Open,Volume,date,weekday,month,c-o,candle,cashopen,cash,action,diff,quantity,par,bah
0,0,0,5993.25,6006.049805,5982,5982.600098,0,02-01-2013,2,1,0.178014606,3,0,0,,,,,
1,1,1,6009.5,6017,5986.549805,6015.799805,0,03-01-2013,3,1,-0.104720988,2,0,0,,,,,
2,2,2,6016.149902,6020.75,5981.549805,6011.950195,0,04-01-2013,4,1,0.069855985,3,173871.5039,0,,,,,
3,3,3,5988.399902,6042.149902,5977.149902,6042.149902,0,07-01-2013,0,1,-0.88958402,1,0,0,,,,,
4,4,4,6001.700195,6007.049805,5964.399902,5983.450195,0,08-01-2013,1,1,0.30500797,3,0,0,,,,,
5,5,5,5971.5,6020.100098,5958.450195,6006.200195,0,09-01-2013,2,1,-0.577739567,1,0,0,,,,,
6,6,6,5968.649902,6005.149902,5947.299805,5998.799805,0,10-01-2013,3,1,-0.502598919,1,0,0,,,,,
7,7,7,5951.299805,6018.850098,5940.600098,6012.399902,0,11-01-2013,4,1,-1.016234748,0,0,0,,,,,
8,8,8,6024.049805,6036.899902,5962.149902,5967.200195,0,14-01-2013,0,1,0.952701571,4,0,0,,,,,
9,9,9,6056.600098,6068.5,6018.600098,6037.850098,0,15-01-2013,1,1,0.310540999,3,0,0,,,,,
10,10,10,6001.850098,6055.950195,5992.049805,6049,0,16-01-2013,2,1,-0.779466061,1,0,0,,,,,
11,11,11,6039.200195,6053.200195,5988.100098,6001.25,0,17-01-2013,3,1,0.632371506,4,0,0,,,,,
12,12,12,6064.399902,6083.399902,6048.299805,6059.850098,0,18-01-2013,4,1,0.075081131,3,0,0,,,,,
13,13,13,6082.299805,6094.350098,6065.100098,6085.75,130900,21-01-2013,0,1,-0.056693012,2,0,0,,,,,
14,14,14,6048.5,6101.299805,6040.5,6080.149902,129000,22-01-2013,1,1,-0.520544765,1,0,0,,,,,
15,15,15,6054.299805,6069.799805,6021.149902,6052.850098,137000,23-01-2013,2,1,0.023950816,3,0,0,,,,,
16,16,16,6019.350098,6065.299805,6007.850098,6046.200195,185200,24-01-2013,3,1,-0.44408217,2,0,0,,,,,
17,17,17,6074.649902,6080.549805,6014.450195,6024.5,147600,25-01-2013,4,1,0.8324326,4,0,0,,,,,
18,18,18,6074.799805,6088.399902,6061.399902,6082.100098,113100,28-01-2013,0,1,-0.120029149,2,0,0,,,,,
19,19,19,6049.899902,6111.799805,6042.450195,6064.700195,157600,29-01-2013,1,1,-0.244039978,2,0,0,,,,,
20,20,20,6055.75,6071.950195,6044.149902,6065,124200,30-01-2013,2,1,-0.152514427,2,0,0,,,,,
21,21,21,6034.75,6058.049805,6025.149902,6045.649902,168500,31-01-2013,3,1,-0.180293305,2,0,0,,,,,
22,22,22,5998.899902,6052.950195,5983.200195,6040.950195,159300,01-02-2013,4,2,-0.696087398,1,0,0,,,,,
23,23,23,5987.25,6038.5,5981.25,6025.200195,141700,04-02-2013,0,2,-0.629857827,1,0,0,,,,,
24,24,24,5956.899902,5970.350098,5946.899902,5948.200195,136200,05-02-2013,1,2,0.146257804,3,0,0,,,,,
25,25,25,5959.200195,5990.899902,5953.149902,5988.049805,157800,06-02-2013,2,2,-0.481786407,2,0,0,,,,,
26,26,26,5938.799805,5978.5,5927.600098,5936.450195,157600,07-02-2013,3,2,0.039579377,3,0,0,,,,,
27,27,27,5903.5,5953.700195,5883.649902,5929.100098,192600,08-02-2013,4,2,-0.43177038,2,0,0,,,,,
28,28,28,5897.850098,5924.149902,5879.100098,5920.049805,122000,11-02-2013,0,2,-0.374991896,2,0,0,,,,,
29,29,29,5922.5,5927.649902,5886.450195,5894.350098,142800,12-02-2013,1,2,0.477574313,3,0,0,,,,,
30,30,30,5932.950195,5969.5,5922.950195,5943.149902,142600,13-02-2013,2,2,-0.171621231,2,0,0,,,,,
31,31,31,5896.950195,5940.200195,5884.549805,5933.200195,143800,14-02-2013,3,2,-0.610968766,1,0,0,,,,,
32,32,32,5887.399902,5899.950195,5853.899902,5869.950195,125100,15-02-2013,4,2,0.297271807,3,0,0,,,,,
33,33,33,5898.200195,5911,5878.450195,5888.649902,114300,18-02-2013,0,2,0.162181369,3,0,0,,,,,
34,34,34,5939.700195,5947.549805,5883.149902,5900.200195,101000,19-02-2013,1,2,0.669468809,4,0,0,,,,,
35,35,35,5943.049805,5971,5937.549805,5966.299805,135400,20-02-2013,2,2,-0.389688765,2,0,0,,,,,
36,36,36,5852.25,5921.149902,5844.399902,5909.649902,159400,21-02-2013,3,2,-0.971291074,1,0,0,,,,,
37,37,37,5850.299805,5873.799805,5835.799805,5837.950195,157000,22-02-2013,4,2,0.211540174,3,0,0,,,,,
38,38,38,5854.75,5878.399902,5825,5870.549805,125100,25-02-2013,0,2,-0.269136717,2,0,0,,,,,
39,39,39,5761.350098,5838.850098,5748.600098,5838.299805,157400,26-02-2013,1,2,-1.318015682,0,0,0,,,,,
40,40,40,5796.899902,5818.200195,5749.700195,5784.899902,175200,27-02-2013,2,2,0.207436606,3,0,0,,,,,
41,41,41,5693.049805,5849.899902,5671.899902,5834.350098,334900,28-02-2013,3,2,-2.421868599,0,0,0,,,,,
42,42,42,5719.700195,5739.450195,5679.899902,5702.450195,174500,01-03-2013,4,3,0.302501546,3,0,0,,,,,
43,43,43,5698.5,5712,5663.600098,5704.700195,144900,04-03-2013,0,3,-0.108685729,2,0,0,,,,,
44,44,44,5784.25,5790.100098,5722.399902,5722.450195,154400,05-03-2013,1,3,1.079953567,5,0,0,,,,,
45,45,45,5818.600098,5828.700195,5795.049805,5816.399902,156900,06-03-2013,2,3,0.037827454,3,0,0,,,,,
